Id,time,longitude,latitude,magnitude,x,y,mc_current,index_from_zero,int_lambd,lambd,lambd_star,LL,TLL,SLL
2854,1971-01-29 11:41:00,100.18,24.55,3.8000000000000003,-366.4949196544529,-204.10693181834137,3.8,0,0.0,0.0,0.0,-inf,-inf,
2871,1971-02-05 17:10:00,99.5,25.27,6.1000000000000005,-285.15344987233044,-271.26380992697284,3.8,1,0.0,0.0,0.0,-inf,-inf,
2905,1971-02-06 07:28:00,103.47,28.0,3.8000000000000003,16.159609453125693,124.9834211127931,3.8,2,0.0,0.0,0.0,-inf,-inf,
2936,1971-02-11 14:25:00,99.55,25.05,4.1000000000000005,-309.7246041851059,-266.7323214307744,3.8,3,0.0,0.0,0.0,-inf,-inf,
2960,1971-02-16 14:34:00,98.78,24.58,3.9000000000000004,-360.1326875369512,-345.66761566565185,3.8,4,0.0,0.0,0.0,-inf,-inf,
3032,1971-03-11 12:43:00,103.58,28.63,5.0,86.33034997393864,134.9843435082113,3.8,5,0.0,0.0,0.0,-inf,-inf,
3168,1971-04-11 14:55:00,101.7,22.7,4.800000000000001,-573.7258091962121,-51.0484448780872,3.8,6,0.0,0.0,0.0,-inf,-inf,
3221,1971-04-28 23:31:00,101.1,22.8,6.9,-562.2282652188518,-112.59124400782726,3.8,7,0.0,0.0,0.0,-inf,-inf,
3229,1971-04-29 06:33:00,100.9,22.93,4.0,-547.5833455457237,-132.98230984509044,3.8,8,0.0,0.0,0.0,-inf,-inf,
3233,1971-04-29 10:18:00,100.9,22.8,3.8000000000000003,-562.0390142587846,-133.11840014282893,3.8,9,0.0,0.0,0.0,-inf,-inf,
3248,1971-04-30 09:49:00,100.93,22.65,4.3,-578.749023546928,-130.19220644720448,3.8,10,0.0,0.0,0.0,-inf,-inf,
3261,1971-05-02 00:50:00,99.8,21.6,4.0,-693.8777362901194,-248.29485382505425,3.8,11,0.0,0.0,0.0,-inf,-inf,
3395,1971-05-05 22:30:00,100.97,22.82,3.8000000000000003,-559.8849054182581,-125.91414719581618,3.8,12,0.0,0.0,0.0,-inf,-inf,
3508,1971-05-12 09:21:00,100.83,22.93,3.8000000000000003,-547.5095999166945,-140.15940054174058,3.8,13,0.0,0.0,0.0,-inf,-inf,
3552,1971-05-18 10:06:00,101.0,23.0,3.9000000000000004,-539.8981788824631,-122.66146358963115,3.8,14,0.0,0.0,0.0,-inf,-inf,
3604,1971-05-31 06:26:00,98.7,21.5,3.8000000000000003,-702.4484820984143,-362.4928739547132,3.8,15,0.0,0.0,0.0,-inf,-inf,
3645,1971-06-09 14:04:00,99.95,25.95,4.0,-210.42398290529948,-224.69014568487185,3.8,16,0.0,0.0,0.0,-inf,-inf,
3676,1971-06-15 20:27:00,101.1,22.9,4.0,-551.1085916452619,-112.5027365511796,3.8,17,0.0,0.0,0.0,-inf,-inf,
3724,1971-06-27 03:00:00,105.48,25.12,5.300000000000001,-300.43747765178904,330.6199071502555,3.8,18,0.0,0.0,0.0,-inf,-inf,
3874,1971-08-07 09:21:00,102.12,32.08,4.0,469.18740572127257,-7.258031385758804,3.8,19,0.0,0.0,0.0,-inf,-inf,
3875,1971-08-07 11:37:00,103.1,23.9,4.9,-440.0658761768625,91.875196887406,3.8,20,0.0,0.0,0.0,-inf,-inf,
3898,1971-08-16 12:57:00,103.6,28.8,6.1000000000000005,105.25604765452375,136.71586049120285,3.8,21,0.0,0.0,0.0,-inf,-inf,
3917,1971-08-16 14:31:00,103.62,28.8,3.9000000000000004,105.27874251344645,138.66463146226576,3.8,22,0.0,0.0,0.0,-inf,-inf,
3944,1971-08-16 17:54:00,103.65,28.78,3.8000000000000003,103.08946492700667,141.61467782733305,3.8,23,0.0,0.0,0.0,-inf,-inf,
3945,1971-08-16 18:09:00,103.6,28.8,4.1000000000000005,105.25604765452375,136.71586049120285,3.8,24,0.0,0.0,0.0,-inf,-inf,
3968,1971-08-16 21:29:00,103.58,28.78,4.800000000000001,103.00975404543593,134.7926869204312,3.8,25,0.0,0.0,0.0,-inf,-inf,
3997,1971-08-17 02:53:00,103.67,28.82,6.1000000000000005,107.56080791880264,143.50926303152406,3.8,26,0.0,0.0,0.0,-inf,-inf,
3998,1971-08-17 02:58:00,103.67,28.82,3.9000000000000004,107.56080791880264,143.50926303152406,3.8,27,0.0,0.0,0.0,-inf,-inf,
3999,1971-08-17 03:00:00,103.67,28.82,5.4,107.56080791880264,143.50926303152406,3.8,28,0.0,0.0,0.0,-inf,-inf,
4008,1971-08-17 03:33:00,103.67,28.82,5.2,107.56080791880264,143.50926303152406,3.8,29,0.0,0.0,0.0,-inf,-inf,
4010,1971-08-17 03:52:00,103.6,28.82,5.300000000000001,107.4799681571908,136.68987787591098,3.8,30,0.0,0.0,0.0,-inf,-inf,
4038,1971-08-17 06:37:00,103.62,28.83,5.9,108.614624163203,138.62509764919758,3.8,31,0.0,0.0,0.0,-inf,-inf,
4039,1971-08-17 06:40:00,103.62,28.83,5.2,108.614624163203,138.62509764919758,3.8,32,0.0,0.0,0.0,-inf,-inf,
4048,1971-08-17 07:55:00,103.68,28.78,3.9000000000000004,103.12483142408963,144.53837378222244,3.8,33,0.0,0.0,0.0,-inf,-inf,
4068,1971-08-17 10:06:00,103.58,28.82,3.8000000000000003,107.45759393359432,134.74147356937712,3.8,34,0.0,0.0,0.0,-inf,-inf,
4110,1971-08-17 17:36:00,103.73,28.77,5.7,102.073419344039,149.42536493258893,3.8,35,0.0,0.0,0.0,-inf,-inf,
4115,1971-08-17 18:51:00,103.65,28.8,3.8000000000000003,105.31338716204982,141.58778076556376,3.8,36,0.0,0.0,0.0,-inf,-inf,
4131,1971-08-18 01:07:00,103.62,28.8,5.5,105.27874251344645,138.66463146226576,3.8,37,0.0,0.0,0.0,-inf,-inf,
4298,1971-08-21 23:10:00,103.53,28.8,3.9000000000000004,105.1791455372141,129.89513289139694,3.8,38,0.0,0.0,0.0,-inf,-inf,
4304,1971-08-22 03:28:00,103.67,28.77,3.9000000000000004,102.0010007788882,143.57743869749902,3.8,39,0.0,0.0,0.0,-inf,-inf,
4357,1971-08-22 23:22:00,103.52,28.78,3.9000000000000004,102.94456258876082,128.94523000601205,3.8,40,0.0,0.0,0.0,-inf,-inf,
4382,1971-08-23 13:36:00,103.73,28.73,5.4,97.62556889301813,149.48207221566494,3.8,41,0.0,0.0,0.0,-inf,-inf,
4386,1971-08-23 13:46:00,103.67,28.75,5.1000000000000005,99.77707767256948,143.60468837725173,3.8,42,0.0,0.0,0.0,-inf,-inf,
4412,1971-08-23 17:33:00,103.45,28.72,4.0,96.2004109117697,122.19268032515212,3.8,43,0.0,0.0,0.0,-inf,-inf,
4417,1971-08-23 17:58:00,103.63,28.8,3.8000000000000003,105.29021041476582,139.63901552383575,3.8,44,0.0,0.0,0.0,-inf,-inf,
4418,1971-08-23 17:59:00,103.57,28.82,4.9,107.44652729604182,133.76727002494854,3.8,45,0.0,0.0,0.0,-inf,-inf,
4839,1971-09-02 22:42:00,103.52,28.9,3.8000000000000003,116.28806996626416,128.79812917134768,3.8,46,0.0,0.0,0.0,-inf,-inf,
4852,1971-09-04 02:42:00,103.55,28.83,3.9000000000000004,108.53659440580456,131.80632784736005,3.8,47,0.0,0.0,0.0,-inf,-inf,
4861,1971-09-04 09:10:00,103.63,28.8,4.0,105.29021041476582,139.63901552383575,3.8,48,0.0,0.0,0.0,-inf,-inf,
4914,1971-09-06 20:00:00,101.8,26.4,5.1000000000000005,-162.3391772524283,-39.541499782779766,3.8,49,0.0,0.0,0.0,-inf,-inf,
5017,1971-09-14 11:10:00,100.55,22.95,5.7,-544.9518765192715,-168.84072036968877,3.8,50,0.0,0.0,0.0,-inf,-inf,
5126,1971-09-15 15:04:00,100.75,22.95,3.8000000000000003,-545.1966120629095,-148.33834035162744,3.8,51,0.0,0.0,0.0,-inf,-inf,
5135,1971-09-15 19:21:00,103.55,28.83,3.8000000000000003,108.53659440580456,131.80632784736005,3.8,52,0.0,0.0,0.0,-inf,-inf,
5236,1971-09-20 09:48:00,105.03,28.45,4.2,68.76865849352036,276.9548889051355,3.8,53,0.0,0.0,0.0,-inf,-inf,
5306,1971-09-25 07:08:00,105.25,28.48,4.0,72.62446099492566,298.3733289421989,3.8,54,0.0,0.0,0.0,-inf,-inf,
5493,1971-10-08 12:40:00,100.92,26.87,3.8000000000000003,-109.48807838157138,-126.66597762970753,3.8,55,0.0,0.0,0.0,-inf,-inf,
5620,1971-10-17 03:50:00,100.95,23.0,3.8000000000000003,-539.8498413326087,-127.78516512265054,3.8,56,0.0,0.0,0.0,-inf,-inf,
5802,1971-10-28 19:54:00,102.97,26.87,3.8000000000000003,-109.90144003020826,76.68030559944665,3.8,57,0.0,0.0,0.0,-inf,-inf,
5819,1971-10-29 14:00:00,104.2,32.7,4.800000000000001,539.7404959567893,187.64063974120452,3.8,58,0.0,0.0,0.0,-inf,-inf,
5932,1971-11-03 14:19:00,103.6,28.8,3.8000000000000003,105.25604765452375,136.71586049120285,3.8,59,0.0,0.0,0.0,-inf,-inf,
