target_id,time,longitude,latitude,magnitude,x,y,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1
43276,1981-01-01 18:22:22.400,-118.57,38.053,4.2,240.00193827661408,25.809316252231024,4.0,0.0,2.7328061336211442e-08,0.9995027115134117,0.0004972884865882539,1.0
43355,1981-01-07 11:42:33.000,-121.6161667,36.8735,4.5,112.28090819102586,-244.72707245622468,4.0,0.0,2.7328061336211442e-08,0.9874988605218986,0.012501139478101452,1.0
43495,1981-01-15 12:47:51.220,-121.7288333,37.3745,4.800000000000001,168.27017062448428,-253.0800174524996,4.0,0.0,2.7328061336211442e-08,0.9400926203030112,0.05990737969698872,1.0
43635,1981-01-27 22:10:53.910,-121.6041667,36.8621667,4.1000000000000005,110.99066942192032,-243.69591456316644,4.0,0.0,2.7328061336211442e-08,0.9995505710978837,0.00044942890211631647,1.0
43653,1981-01-28 20:08:50.500,-118.355,38.168,4.5,252.86811949627807,44.5698037162372,4.0,0.0,2.7328061336211442e-08,0.9988088925249469,0.001191107475053002,1.0
43876,1981-02-14 06:10:40.660,-123.8048333,41.3981667,4.800000000000001,622.8224577448465,-412.4956480096717,4.0,0.0,2.7328061336211442e-08,0.8052354101639158,0.19476458983608422,1.0
44076,1981-03-03 10:45:12.640,-121.9315,37.5525,4.4,188.6088646539852,-270.34519498529534,4.0,0.0,2.7328061336211442e-08,0.6477856571601585,0.35221434283984154,1.0
44097,1981-03-05 05:28:54.300,-118.8738333,37.543,4.2,183.2529737289225,-0.8058714397842924,4.0,0.0,2.7328061336211442e-08,0.9998151528270148,0.00018484717298523153,1.0
44201,1981-03-15 06:07:39.910,-125.786,40.409,4.7,523.4716989164954,-586.072951927784,4.0,0.0,2.7328061336211442e-08,0.990924239433871,0.00907576056612918,1.0
44256,1981-03-21 05:38:46.530,-124.4385,40.6025,4.0,537.3997202338376,-470.8070996861029,4.0,0.0,2.7328061336211442e-08,0.9366486831970631,0.06335131680293692,1.0
44335,1981-03-30 12:38:50.950,-124.59,40.3338333,4.3,508.3203354905002,-485.4675304769535,4.0,0.0,2.7328061336211442e-08,0.9595024113348546,0.04049758866514543,1.0
44351,1981-03-31 02:10:37.700,-124.5928333,40.338,4.0,508.7978412261091,-485.6783602693725,4.0,0.0,2.7328061336211442e-08,0.9999941885795416,5.811420458397023e-06,1.0
